latent_dim1,latent_dim2,日期,開盤,最高,最低,收盤,成交量,外資餘額,外資買賣超,投信餘額,投信買賣超,自營商餘額,自營商買賣超,法人餘額,法人買賣超,主力買賣超,台灣平均工時年增率,台灣平均薪資年增率,台灣失業率(經季節性調整),台灣房屋建築工程業類指數,台灣建築貸款年增率,台灣消費者住宅貸款
-6.8417063,-0.24822101,2007/1/2,1062.02,1092.92,1060.42,1086.94,1696752,2959.88,5.88,65.42,0.76,86.88,1.18,3112.18,7.81,-1.2,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.8776603,-0.19189021,2007/1/3,1094.51,1109.15,1087.35,1087.35,1682628,2964.89,4.86,67.51,2.09,87.7,0.8,3120.11,7.76,-0.71,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.7743692,-0.3612655,2007/1/4,1089.72,1092.52,1080.2,1087.19,1207722,2969.7,4.81,67.57,0.06,88.46,0.76,3125.73,5.62,-0.21,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.6447797,-0.54381144,2007/1/5,1080.95,1080.95,1067.09,1068.64,1088326,2965.77,-3.93,67.71,0.14,88.84,0.35,3122.32,-3.44,-0.83,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.5816393,-0.6268629,2007/1/8,1056.78,1057.7,1050.98,1053.94,857978,2959.96,-5.81,67.78,0.07,88.1,-0.74,3115.84,-6.48,-0.05,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.656174,-0.5289949,2007/1/9,1058.44,1064.23,1057.5,1058.94,624613,2958.82,-0.7,68.01,0.23,87.22,-0.88,3114.04,-1.35,0.34,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.5860653,-0.61266816,2007/1/10,1050.05,1050.05,1031.19,1035.29,1177437,2952.9,-5.92,67.9,-0.11,85.48,-1.73,3106.28,-7.76,0.38,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.66303,-0.5098069,2007/1/11,1030.54,1034.84,1021.48,1025.32,882870,2952.62,-0.27,67.64,-0.26,84.45,-1.04,3104.72,-1.57,1.23,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.6804047,-0.4866005,2007/1/12,1033.34,1041.73,1032.62,1041.73,631950,2954.18,1.56,67.42,-0.22,84.74,0.29,3106.34,1.62,0.15,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.5936418,-0.59854555,2007/1/15,1043.71,1043.71,1029.16,1031.44,595420,2951.62,-2.57,66.92,-0.5,83.88,-0.86,3102.42,-3.92,0.62,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.64314,-0.53169036,2007/1/16,1028.23,1038.15,1028.16,1037.43,555643,2964.94,0.56,66.44,-0.48,84.04,0.16,3115.42,0.24,0.11,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.6089935,-0.5764886,2007/1/17,1033.52,1041.12,1030.23,1034.16,577619,2962.47,-2.47,66.19,-0.25,84.41,0.37,3113.07,-2.35,-0.61,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.614929,-0.5715786,2007/1/18,1032.72,1046.98,1023.26,1046.98,784840,2959.67,-2.81,65.74,-0.45,84.95,0.54,3110.36,-2.71,-0.28,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.640311,-0.53866637,2007/1/19,1045.13,1052.48,1042.6,1042.6,575902,2959.0,0.14,65.26,-0.48,84.32,-0.64,3108.57,-0.98,0.87,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.652953,-0.5242902,2007/1/22,1047.76,1055.76,1033.38,1053.36,753250,2957.93,-1.07,65.03,-0.22,84.25,-0.07,3107.21,-1.36,0.24,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.6419287,-0.54060924,2007/1/23,1052.88,1053.87,1047.92,1052.82,478603,2984.43,-0.16,64.74,-0.29,85.35,1.1,3134.52,0.65,-0.79,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.7310514,-0.42104504,2007/1/24,1058.77,1066.7,1057.46,1066.7,817541,2988.01,3.59,64.84,0.1,86.31,0.96,3139.17,4.65,-0.65,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.7016153,-0.46265706,2007/1/25,1065.51,1065.51,1057.73,1058.45,464321,2991.35,3.33,64.79,-0.05,86.45,0.13,3142.58,3.41,0.53,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.615202,-0.57899404,2007/1/26,1051.15,1057.96,1044.15,1045.51,509650,2989.72,-1.63,64.65,-0.14,86.35,-0.1,3140.71,-1.87,-0.25,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.5721645,-0.6329986,2007/1/29,1044.46,1048.63,1033.33,1034.66,429126,2986.32,-3.4,64.39,-0.26,85.65,-0.7,3136.36,-4.35,0.3,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.6454606,-0.5346035,2007/1/30,1035.99,1042.85,1033.84,1037.49,437389,2985.27,-1.05,64.65,0.26,85.59,-0.06,3135.51,-0.86,0.19,7.970183,-40.83,3.94,102.93,28.308517,4377090
-6.5757394,-0.625363,2007/1/31,1042.38,1043.01,1029.01,1036.7,557533,2979.65,-5.62,64.86,0.21,84.87,-0.1,3129.38,-5.51,-0.43,7.970183,-40.83,3.94,102.93,28.308517,4377090
-5.818799,-1.5763127,2007/2/1,1041.25,1045.67,1040.06,1040.35,493365,2978.56,-1.09,64.92,0.06,84.88,0.01,3128.36,-1.02,0.69,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.874313,-1.5072626,2007/2/2,1044.61,1054.33,1044.61,1050.89,640401,2981.68,3.12,65.08,0.15,85.28,0.4,3132.03,3.67,0.42,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.816821,-1.5675503,2007/2/5,1051.2,1051.27,1045.96,1046.64,530736,2981.02,-0.66,65.06,-0.02,85.34,0.07,3131.42,-0.61,0.13,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.840823,-1.5421203,2007/2/6,1048.22,1056.03,1043.64,1056.03,558182,2983.95,2.93,64.71,-0.35,85.53,0.18,3134.19,2.77,0.33,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.826581,-1.5589691,2007/2/7,1054.44,1054.44,1047.81,1048.84,498090,2984.46,0.51,64.57,-0.14,85.51,-0.02,3134.54,0.35,0.56,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.8287463,-1.5556675,2007/2/8,1050.42,1052.06,1040.19,1049.46,502889,2986.31,1.85,64.33,-0.24,85.0,-0.5,3135.64,1.1,0.71,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.8488646,-1.5285223,2007/2/9,1047.68,1053.87,1045.06,1051.98,504696,2989.42,3.11,64.33,0.01,85.23,0.22,3138.97,3.34,0.15,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.791996,-1.5971091,2007/2/12,1047.35,1048.15,1039.0,1045.72,441070,2988.33,-1.09,64.16,-0.17,85.08,-0.15,3137.57,-1.41,-0.26,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.7937317,-1.5933673,2007/2/13,1046.68,1047.49,1040.2,1042.32,485861,2985.95,-2.38,64.25,0.09,85.18,0.1,3135.38,-2.19,-0.55,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
-5.8002486,-1.5855176,2007/2/14,1047.77,1047.77,1041.17,1044.4,622594,2991.2,-2.67,64.31,0.06,85.15,-0.04,3140.66,-2.65,-0.34,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371
