latent_dim1,latent_dim2,日期,開盤,最高,最低,收盤,成交量,外資餘額,外資買賣超,投信餘額,投信買賣超,自營商餘額,自營商買賣超,法人餘額,法人買賣超,主力買賣超,黃豆芝加哥,黃豆粉,高筋麵粉,玉米芝加哥,沙拉油中盤價,沙拉油
-2.0896769,-6.6858325,2007/1/2,486.6,490.71,481.79,487.14,199767.0,162.56,0.39,10.31,0.14,4.1,0.16,176.97,0.69,-0.22,683.5,9.5,420.0,390.25,545.0,510.0
-2.0945902,-6.62836,2007/1/3,488.17,495.36,480.35,480.35,201781.0,162.94,0.38,10.48,0.17,4.1,-0.01,177.51,0.54,-0.08,683.5,9.5,420.0,390.25,545.0,510.0
-2.081793,-6.540221,2007/1/4,480.16,485.63,475.51,482.13,154577.0,163.64,0.71,10.41,-0.07,4.23,0.13,178.28,0.77,-0.12,683.5,9.5,420.0,390.25,545.0,510.0
-1.8863198,-6.273552,2007/1/5,481.29,481.29,466.48,469.04,126821.0,163.07,-0.42,10.19,-0.23,4.4,0.17,177.65,-0.47,-0.31,668.0,9.38,420.0,368.25,545.0,510.0
-1.8559538,-6.1041203,2007/1/8,465.23,471.78,461.93,464.66,72226.0,162.81,-0.26,10.31,0.13,4.12,-0.28,177.24,-0.42,0.19,668.0,9.38,420.0,368.25,545.0,510.0
-1.8780758,-6.178091,2007/1/9,466.92,471.54,464.83,465.95,73630.0,162.56,-0.23,10.31,0.0,4.05,-0.07,176.92,-0.3,0.01,668.0,9.38,420.0,368.25,545.0,510.0
-1.4563962,-5.258068,2007/1/10,467.31,467.73,455.57,455.71,82050.0,162.34,-0.22,9.7,-0.61,3.81,-0.24,175.85,-1.06,0.16,668.0,9.38,420.0,368.25,545.0,510.0
-1.9682428,-6.2271476,2007/1/11,456.1,457.01,434.23,438.05,115209.0,162.55,0.21,9.45,-0.25,3.91,0.09,175.91,0.05,-0.2,668.0,9.38,420.0,368.25,545.0,510.0
-1.9984542,-6.2861476,2007/1/12,442.89,456.18,441.52,456.18,90718.0,162.85,0.3,9.33,-0.12,4.02,0.11,176.2,0.29,-0.13,706.0,9.35,420.0,396.5,570.0,530.0
-1.6958348,-5.874092,2007/1/15,454.79,455.14,441.88,442.74,86307.0,162.03,-0.82,9.23,-0.1,3.95,-0.07,175.21,-0.99,-0.22,706.0,9.35,420.0,396.5,570.0,530.0
-1.9098579,-6.2719784,2007/1/16,445.16,450.84,445.04,446.3,113908.0,161.5,-0.54,9.3,0.08,3.95,0.01,174.75,-0.45,-0.22,706.0,9.35,420.0,396.5,570.0,530.0
-2.1742337,-6.6689157,2007/1/17,447.62,457.54,446.64,456.17,184618.0,162.38,0.88,9.71,0.41,3.86,-0.09,175.95,1.2,0.21,706.0,9.35,420.0,396.5,570.0,530.0
-1.9838973,-6.3629827,2007/1/18,459.75,461.98,456.78,460.59,130935.0,162.02,-0.36,9.99,0.28,3.7,-0.16,175.71,-0.24,0.22,706.0,9.35,420.0,396.5,570.0,530.0
-2.0391474,-6.477417,2007/1/19,464.65,465.43,459.39,460.63,179912.0,161.69,-0.33,10.34,0.35,3.52,-0.18,175.56,-0.16,0.16,717.75,9.45,420.0,406.75,570.0,530.0
-2.090472,-6.764241,2007/1/22,462.06,485.2,461.81,482.46,263238.0,161.67,-0.02,10.62,0.28,3.76,0.24,176.05,0.5,-0.04,717.75,9.45,420.0,406.75,570.0,530.0
-2.1235723,-6.5836515,2007/1/23,485.97,498.51,484.85,486.45,269960.0,162.22,0.55,10.58,-0.05,3.79,0.03,176.58,0.53,0.21,717.75,9.45,420.0,406.75,570.0,530.0
-2.101239,-6.5462904,2007/1/24,492.3,492.69,484.01,488.18,163701.0,162.82,0.61,10.6,0.02,3.89,0.1,177.31,0.72,0.01,717.75,9.45,420.0,406.75,570.0,530.0
-1.974677,-6.2810383,2007/1/25,488.35,488.85,471.85,472.24,142894.0,162.86,0.04,10.5,-0.1,3.86,-0.03,177.22,-0.09,-0.13,717.75,9.45,420.0,406.75,570.0,530.0
-1.8322834,-6.094896,2007/1/26,465.29,480.59,464.8,470.9,109499.0,162.45,-0.41,10.48,-0.01,3.75,-0.11,176.68,-0.53,0.06,710.5,9.4,420.0,405.5,590.0,550.0
-1.8069738,-6.0224123,2007/1/29,474.0,476.43,465.08,466.34,68558.0,162.26,-0.2,10.45,-0.04,3.66,-0.09,176.37,-0.32,0.01,710.5,9.4,420.0,405.5,590.0,550.0
