latent_dim1,latent_dim2,日期,日本M2+CD年增率,日本M1年增率,日本貼現率(月底值),韓國失業率,韓國消費者信心指數,韓國消費者物價指數年增率,韓國PPI,韓國GDP年增率,韓國出口貿易金額,韓國進口貿易金額,韓國M2,道瓊收盤,那斯達克收盤,S&P收盤,日經收盤,韓股收盤,台股收盤
-2.0896769,-6.6858325,2007/1/2,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12463.1,2415.29,1418.3,17225.8,1435.26,7920.8
-2.0945902,-6.62836,2007/1/3,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12474.5,2423.16,1416.6,17225.8,1409.35,7917.3
-2.081793,-6.540221,2007/1/4,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12480.7,2453.43,1418.34,17353.7,1397.29,7934.51
-1.8863198,-6.273552,2007/1/5,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12398.0,2434.25,1409.71,17091.6,1385.76,7835.57
-1.8559538,-6.1041203,2007/1/8,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12423.5,2438.2,1412.84,17091.6,1370.81,7736.71
-1.8780758,-6.178091,2007/1/9,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12416.6,2443.83,1412.11,17237.8,1374.34,7790.01
-1.4563962,-5.258068,2007/1/10,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12442.2,2459.33,1414.85,16942.4,1355.79,7698.52
-1.9682428,-6.2271476,2007/1/11,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12515.0,2484.85,1423.82,16838.2,1365.31,7618.55
-1.9984542,-6.2861476,2007/1/12,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12556.1,2502.82,1430.73,17057.0,1388.37,7761.71
-1.6958348,-5.874092,2007/1/15,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12556.1,2502.82,1430.73,17209.9,1390.96,7783.5
-1.9098579,-6.2719784,2007/1/16,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12582.6,2497.78,1431.9,17202.5,1389.71,7792.08
-2.1742337,-6.6689157,2007/1/17,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12577.1,2479.42,1430.62,17261.3,1379.48,7833.98
-1.9838973,-6.3629827,2007/1/18,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12567.9,2443.21,1426.37,17370.9,1383.21,7895.18
-2.0391474,-6.477417,2007/1/19,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12565.5,2451.31,1430.5,17310.4,1360.56,7840.08
-2.090472,-6.764241,2007/1/22,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12477.2,2431.07,1422.95,17424.2,1363.41,7842.47
-2.1235723,-6.5836515,2007/1/23,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12533.8,2431.41,1427.99,17408.6,1363.09,7852.36
-2.101239,-6.5462904,2007/1/24,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12621.8,2466.28,1440.13,17507.4,1383.06,7935.54
-1.974677,-6.2810383,2007/1/25,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12502.6,2434.24,1423.9,17458.3,1382.36,7923.77
-1.8322834,-6.094896,2007/1/26,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12487.0,2435.49,1422.18,17421.9,1371.33,7821.32
-1.8069738,-6.0224123,2007/1/29,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12490.8,2441.09,1420.62,17470.5,1363.1,7751.79
-1.8989962,-6.1698465,2007/1/30,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12523.3,2448.64,1428.82,17490.2,1370.72,7739.91
-1.8247771,-5.959583,2007/1/31,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5,28093.0,27560.0,1143814.9,12621.7,2463.93,1438.24,17383.4,1360.23,7699.64
-1.0355271,-3.5313625,2007/2/1,1.0,0.0,0.75,3.7,98.1,2.2,100.6,4.5,26225.0,25406.0,1154108.8,12673.7,2468.38,1445.94,17519.5,1382.9,7701.54
