latent_dim1,latent_dim2,日期,EG進口合約價,EG東聯,PVC,SM國喬,VCM,丁二烯,尼龍絲,海灣區合約價,WTI期貨,海灣區現貨,杜拜輕原油現貨,布蘭特原油期貨,布蘭特原油,WTI現貨,台灣平均工時年增率,台灣平均薪資年增率,台灣失業率(經季節性調整),台灣房屋建築工程業類指數,台灣建築貸款年增率,台灣消費者住宅貸款
-0.51171976,-1.8104061,2007/1/2,930.0,930.0,820.0,1265.6,640.0,1170.0,99.0,1625.89,61.05,1224.0,56.5,60.86,59.5,60.85,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.62945914,-1.947064,2007/1/3,930.0,930.0,820.0,1265.6,640.0,1170.0,99.0,1625.89,61.05,1224.0,56.5,60.86,59.5,60.85,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.8639607,-2.1829708,2007/1/4,930.0,930.0,820.0,1265.6,640.0,1170.0,99.0,1625.89,61.05,1224.0,56.5,60.86,59.5,60.85,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.9002015,-2.2116368,2007/1/5,930.0,930.0,820.0,1279.8,640.0,1170.0,101.0,1686.52,56.31,1223.55,56.5,55.64,59.5,60.85,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.75965184,-2.1030886,2007/1/8,930.0,930.0,820.0,1279.8,640.0,1170.0,101.0,1686.52,56.31,1223.55,50.78,55.64,53.85,56.29,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.54040444,-1.873505,2007/1/9,930.0,930.0,820.0,1279.8,640.0,1170.0,101.0,1686.52,56.31,1223.55,50.78,55.64,53.85,56.29,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.81195265,-2.109594,2007/1/10,930.0,930.0,820.0,1279.8,640.0,1170.0,101.0,1686.52,56.31,1223.55,50.78,55.64,53.85,56.29,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.7608936,-2.0947685,2007/1/11,930.0,930.0,820.0,1279.8,640.0,1170.0,101.0,1686.52,56.31,1223.55,50.78,55.64,53.85,56.29,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.6636015,-2.0204463,2007/1/12,930.0,930.0,830.0,1279.8,645.0,1155.0,101.0,1686.52,52.99,1223.55,50.78,52.95,53.85,56.29,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.76283747,-2.1160343,2007/1/15,930.0,930.0,830.0,1279.8,645.0,1155.0,101.0,1686.52,52.99,1223.55,48.05,52.95,51.54,52.96,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.7087337,-2.0650804,2007/1/16,930.0,930.0,830.0,1279.8,645.0,1155.0,101.0,1686.52,52.99,1223.55,48.05,52.95,51.54,52.96,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.6907374,-2.0333173,2007/1/17,930.0,930.0,830.0,1279.8,645.0,1155.0,101.0,1686.52,52.99,1223.55,48.05,52.95,51.54,52.96,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.60582155,-1.941302,2007/1/18,930.0,930.0,830.0,1279.8,645.0,1155.0,101.0,1686.52,52.99,1223.55,48.05,52.95,51.54,52.96,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.557758,-1.897858,2007/1/19,930.0,930.0,830.0,1279.8,645.0,1155.0,101.0,1686.52,51.99,1223.55,48.05,53.44,51.54,52.96,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.5743376,-1.890534,2007/1/22,930.0,930.0,830.0,1279.8,645.0,1140.0,101.0,1686.52,51.99,1223.55,48.58,53.44,53.0,51.98,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.54461026,-1.8660194,2007/1/23,930.0,930.0,830.0,1279.8,645.0,1140.0,101.0,1686.52,51.99,1223.55,48.58,53.44,53.0,51.98,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.52171946,-1.8392495,2007/1/24,930.0,930.0,830.0,1279.8,645.0,1140.0,101.0,1686.52,51.99,1223.55,48.58,53.44,53.0,51.98,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.70941216,-2.038079,2007/1/25,930.0,930.0,830.0,1279.8,645.0,1140.0,101.0,1686.52,51.99,1223.55,48.58,53.44,53.0,51.98,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.83920836,-2.1690252,2007/1/26,930.0,930.0,855.0,1279.8,645.0,1140.0,101.0,1686.52,55.42,1146.39,48.58,55.29,53.0,51.98,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.7318281,-2.084204,2007/1/29,930.0,930.0,855.0,1279.8,645.0,1140.0,101.0,1686.52,55.42,1146.39,50.85,55.29,55.84,55.38,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.7308868,-2.075744,2007/1/30,930.0,930.0,855.0,1279.8,645.0,1140.0,101.0,1686.52,55.42,1146.39,50.85,55.29,55.84,55.38,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-0.65398437,-1.9876574,2007/1/31,930.0,930.0,855.0,1279.8,645.0,1140.0,101.0,1686.52,55.42,1146.39,50.85,55.29,55.84,55.38,7.970183,-40.83,3.94,102.93,28.308517,4377090.0
-1.205766,-2.2834125,2007/2/1,930.0,930.0,855.0,1279.8,645.0,1140.0,101.0,1686.52,55.42,1146.39,50.85,55.29,55.84,55.38,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.018861,-2.1035845,2007/2/2,930.0,930.0,855.0,1268.4,650.0,1115.0,101.0,1686.52,59.02,1151.91,50.85,58.41,55.84,55.38,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.0900612,-2.1780484,2007/2/5,930.0,930.0,855.0,1268.4,685.0,1115.0,101.0,1598.34,59.02,1151.91,53.65,58.41,58.47,59.01,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-0.9973796,-2.0874493,2007/2/6,930.0,930.0,855.0,1268.4,685.0,1115.0,101.0,1598.34,59.02,1151.91,53.65,58.41,58.47,59.01,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.0475445,-2.1334927,2007/2/7,930.0,930.0,855.0,1268.4,685.0,1115.0,101.0,1598.34,59.02,1151.91,53.65,58.41,58.47,59.01,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.1360697,-2.2079208,2007/2/8,930.0,930.0,855.0,1268.4,685.0,1115.0,101.0,1598.34,59.02,1151.91,53.65,58.41,58.47,59.01,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.0340968,-2.1102316,2007/2/9,930.0,930.0,850.0,1268.4,680.0,1145.0,101.0,1598.34,59.71,1154.66,53.65,59.01,58.47,59.01,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.3578243,-2.3934593,2007/2/12,930.0,930.0,850.0,1268.4,680.0,1145.0,101.0,1598.34,59.89,1154.66,55.41,59.01,57.37,59.86,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.1560009,-2.2263744,2007/2/13,930.0,930.0,850.0,1268.4,680.0,1145.0,101.0,1598.34,59.89,1154.66,55.41,59.01,57.37,59.86,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-0.9313937,-1.998247,2007/2/14,930.0,930.0,850.0,1268.4,680.0,1145.0,101.0,1598.34,58.0,1154.66,55.41,57.43,57.37,59.86,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-0.79753596,-1.8438452,2007/2/26,930.0,930.0,850.0,1268.4,680.0,1085.0,101.0,1598.34,59.61,1179.46,57.05,60.88,59.51,60.28,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.089503,-2.1348472,2007/2/27,930.0,930.0,850.0,1268.4,680.0,1085.0,101.0,1598.34,59.61,1179.46,57.05,60.88,59.51,60.28,-12.198303999999998,90.58,3.91,91.43,30.546432,4393371.0
-1.4932537,-2.5303833,2007/3/1,930.0,930.0,850.0,1268.4,680.0,1085.0,101.0,1598.34,59.61,1179.46,57.05,60.88,59.51,60.28,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.1700722,-2.274465,2007/3/2,930.0,930.0,850.0,1268.4,680.0,1085.0,101.0,1598.34,59.61,1179.46,57.05,60.88,59.51,60.28,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.3205385,-2.4055765,2007/3/3,930.0,930.0,850.0,1265.1,680.0,1100.0,101.0,1598.34,61.64,1190.48,58.1,62.08,61.34,61.58,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.2550719,-2.34871,2007/3/5,930.0,930.0,850.0,1265.1,680.0,1100.0,101.0,1598.34,61.64,1190.48,58.1,62.08,61.34,61.58,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.2338636,-2.3399258,2007/3/6,930.0,930.0,850.0,1265.1,680.0,1100.0,101.0,1598.34,61.64,1190.48,58.1,62.08,61.34,61.58,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.0172043,-2.1400428,2007/3/7,930.0,930.0,850.0,1265.1,680.0,1100.0,101.0,1598.34,61.64,1190.48,58.1,62.08,61.34,61.58,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.1287485,-2.2377098,2007/3/8,930.0,930.0,850.0,1265.1,680.0,1100.0,101.0,1598.34,61.64,1190.48,58.1,62.08,61.34,61.58,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.3311834,-2.4174755,2007/3/9,930.0,930.0,850.0,1265.1,680.0,1100.0,101.0,1598.34,61.64,1190.48,58.1,62.08,61.34,61.58,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.1587739,-2.2654212,2007/3/12,930.0,930.0,855.0,1265.1,685.0,1090.0,102.0,1598.34,60.05,1201.51,57.79,61.13,59.68,60.06,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.173156,-2.2677658,2007/3/13,930.0,930.0,855.0,1265.1,685.0,1090.0,102.0,1598.34,60.05,1201.51,57.79,61.13,59.68,60.06,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.2385511,-2.33422,2007/3/14,930.0,930.0,855.0,1265.1,685.0,1090.0,102.0,1598.34,60.05,1201.51,57.79,61.13,59.68,60.06,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-0.7765564,-1.874278,2007/3/15,930.0,930.0,855.0,1265.1,685.0,1090.0,102.0,1598.34,60.05,1201.51,57.79,61.13,59.68,60.06,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-0.88714015,-1.9842111,2007/3/16,930.0,930.0,855.0,1265.1,685.0,1090.0,102.0,1598.34,60.05,1201.51,57.79,61.13,59.68,60.06,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.1832585,-2.2674737,2007/3/19,930.0,930.0,860.0,1265.1,690.0,990.0,102.0,1598.34,57.11,1207.02,57.15,60.36,59.96,57.06,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
-1.1240093,-2.2129135,2007/3/20,930.0,930.0,860.0,1265.1,690.0,990.0,102.0,1598.34,57.11,1207.02,57.15,60.36,59.96,57.06,-1.708959,1.55,3.94,89.29,33.337635,4405421.0
