latent_dim1,latent_dim2,日期,美國M1年增率,美國M2年增率,美國聯邦基金利率,日本失業率,日本消費者物價指數,日本出口物價指數年增率,日本進口物價指數年增率,日本領先經濟指標,日本GDP年增率,日本出口貿易金額,日本進口貿易金額,日本主要金融機構放款年增率,日本M2+CD年增率,日本M1年增率,日本貼現率(月底值),韓國失業率,韓國消費者信心指數,韓國消費者物價指數年增率,韓國PPI,韓國GDP年增率
-0.51171976,-1.8104061,2007/1/2,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.62945914,-1.947064,2007/1/3,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.8639607,-2.1829708,2007/1/4,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.9002015,-2.2116368,2007/1/5,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.75965184,-2.1030886,2007/1/8,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.54040444,-1.873505,2007/1/9,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.81195265,-2.109594,2007/1/10,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.7608936,-2.0947685,2007/1/11,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.6636015,-2.0204463,2007/1/12,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.76283747,-2.1160343,2007/1/15,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.7087337,-2.0650804,2007/1/16,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.6907374,-2.0333173,2007/1/17,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.60582155,-1.941302,2007/1/18,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.557758,-1.897858,2007/1/19,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.5743376,-1.890534,2007/1/22,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
-0.54461026,-1.8660194,2007/1/23,-0.5,5.5,5.25,4.0,96.9,4.9,10.6,111.0,0.7,5952.672,5950.876,1.7,0.9,-0.1,0.4,3.6,96.1,1.7,100.5,4.5
