latent_dim1,latent_dim2,door_open/min (ratio),door_move/min (ratio),door_error/min (ratio),door_close/min (ratio),x,y,z,pressure,pressure_base,temparature(°C),size
0.788768,1.6109164,-0.6209776,-0.41563052,-0.09949921,0.7603375,-5.4809734e-06,-0.13034053,0.09027757,0.45967937,0.26539207,0.53532004,1.0
1.2849131,1.9139705,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.008370621,-0.09507276,0.09898489,-0.34397772,0.2914344,0.305709,1.0
0.60203505,2.5559366,-0.19256398,0.7042996,-0.09949921,-0.061248794,0.012671793,-0.10786283,0.26890394,0.37269637,0.44749412,-0.58990836,1.0
1.0755879,1.6161804,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.0017705242,-0.13582876,0.08795004,0.064262085,0.2118822,0.65475714,1.0
0.73524886,-4.240854,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.06363002,0.19924921,0.0104038315,0.38083133,0.2768153,0.36123222,1.0
0.14096855,2.1668732,0.40053397,0.71522945,-0.09949921,-0.62747115,0.0255616,-0.10662031,0.16906211,0.7900381,0.7807972,-1.0698454,1.0
0.6756271,2.2908547,-0.011145439,0.48699176,-0.09949921,-0.15258081,0.045136888,-0.13075508,0.3045956,0.38400543,0.50499886,-0.3329897,1.0
1.8006303,2.3575037,0.11953288,0.6724621,-0.09949921,-0.34525707,-0.12208274,0.25129643,0.082974955,-0.5050791,-0.3603366,0.081259,1.0
1.0880417,-4.3453774,2.2733052,-0.41563052,-0.09949921,-1.9830053,0.051051393,0.19810678,-0.114554845,-0.70616156,-0.3911944,0.5044781,1.0
3.3713796,4.9084663,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.13223094,0.23712553,0.033480447,-1.5331725,-1.4556481,-3.112628,1.0
2.586953,2.71358,-0.47430786,0.24633983,-0.09949921,0.37571347,-0.17757751,0.21481536,0.15385999,-1.0122836,-0.7119945,-0.19951573,1.0
0.5249447,-4.1538544,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.032245893,0.18313365,-0.13630767,0.92904687,0.7310878,1.4768454,1.0
1.2329819,2.5833976,-0.49492845,0.030243903,-0.09949921,0.47543433,-0.1585628,0.19962335,0.15651074,0.1059458,0.061242614,-0.67986405,1.0
0.67567056,2.6985867,-0.025526527,0.44472665,-0.09949921,-0.12326861,-0.014042891,-0.09125267,0.22395812,0.3697535,0.52734864,-0.9674146,1.0
0.34773028,2.1802747,-0.4691624,0.022259403,-0.09949921,0.45397434,0.0016661148,-0.124944836,-0.04236331,0.7450121,0.6769517,-0.53279394,1.0
1.5311129,2.4938865,0.07325915,0.6834901,-0.09949921,-0.30548817,-0.1717743,0.27397028,-0.17814907,-0.26344806,-0.1710438,-0.28590158,1.0
0.66592443,1.8993853,-0.020825341,0.46226242,-0.09949921,-0.13423072,-0.16753535,0.25748682,-0.23665093,0.4435356,0.508713,0.09833328,1.0
0.77794796,-4.4721646,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.009821491,0.21847387,-0.24524005,0.1660225,0.07357278,0.2628296,1.0
1.3431528,2.6066937,0.18241765,0.4790273,-0.09949921,-0.33309442,-0.0543241,-0.04531226,0.5972667,-0.074893855,0.09533951,-0.4714354,1.0
1.8445656,1.3850982,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.0056168744,-0.12488105,0.043422442,-0.538733,-0.4000695,1.836053,1.0
0.11200694,2.2269235,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.0058842623,-0.089611724,0.078652665,0.70902497,1.0458633,-0.68280685,1.0
1.2441114,-4.1022596,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.03383465,0.20543867,-0.11188546,-0.59008616,-0.62190443,0.74613845,1.0
0.926794,2.0891807,-0.39041606,0.11072799,-0.09949921,0.3465113,-0.026930843,-0.108185045,0.20482284,0.34131274,0.2481169,-0.06270855,1.0
1.0217278,1.660563,-0.07406466,0.7590149,-0.09949921,-0.19386858,-0.13092607,0.19711341,0.113174625,-0.04315285,0.20708834,0.86901534,1.0
0.19559193,2.5606062,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.022474896,-0.10170956,0.03564341,0.6407502,0.968384,-1.1679908,1.0
