latent_dim1,latent_dim2,日期,開盤,最高,最低,收盤,成交量,外資餘額,外資買賣超,投信餘額,投信買賣超,自營商餘額,自營商買賣超,法人餘額,法人買賣超,主力買賣超,醋酸乙酯,異丙醇,橡膠新加坡,PP進口價,LDPE,HDPE
-0.51171976,-1.8104061,2007/1/2,564.48,569.32,562.35,569.32,770699.0,706.01,0.74,37.85,0.23,17.04,1.13,760.89,2.09,-0.82,40.0,39.0,195.25,1280.0,1320.0,1320.0
-0.62945914,-1.947064,2007/1/3,570.27,571.84,566.65,566.65,701016.0,706.02,0.01,37.69,-0.16,17.44,0.4,761.14,0.25,-0.51,40.0,39.0,195.25,1280.0,1320.0,1320.0
-0.8639607,-2.1829708,2007/1/4,565.93,566.82,561.12,562.39,681397.0,705.3,-0.72,36.58,-1.11,17.07,-0.37,758.95,-2.19,-0.15,40.0,39.0,195.25,1280.0,1320.0,1320.0
-0.9002015,-2.2116368,2007/1/5,561.4,561.65,551.22,553.3,610680.0,704.27,-1.03,35.58,-1.0,16.62,-0.45,756.48,-2.47,-0.14,40.0,39.0,195.25,1280.0,1320.0,1320.0
-0.75965184,-2.1030886,2007/1/8,549.13,550.85,547.19,548.56,481765.0,703.88,-0.39,35.52,-0.06,16.51,-0.11,755.92,-0.56,-0.14,40.0,39.0,190.25,1280.0,1320.0,1320.0
-0.54040444,-1.873505,2007/1/9,549.39,554.62,549.39,553.03,605171.0,704.86,1.08,35.94,0.41,16.82,0.31,757.61,1.81,0.12,40.0,39.0,190.25,1280.0,1320.0,1320.0
-0.81195265,-2.109594,2007/1/10,548.97,549.16,541.66,544.36,709608.0,702.95,-1.91,36.35,0.41,16.66,-0.16,755.96,-1.66,-0.35,40.0,39.0,190.25,1280.0,1320.0,1320.0
-0.7608936,-2.0947685,2007/1/11,544.1,544.32,535.82,536.22,664580.0,702.75,-0.2,36.49,0.14,15.63,-1.03,754.87,-1.09,0.64,40.0,39.0,190.25,1280.0,1320.0,1320.0
-0.6636015,-2.0204463,2007/1/12,540.22,543.63,538.0,542.37,449458.0,703.68,0.93,36.66,0.17,15.27,-0.36,755.61,0.74,0.4,40.0,39.0,190.25,1280.0,1325.0,1305.0
-0.76283747,-2.1160343,2007/1/15,543.53,543.81,539.09,541.92,396967.0,703.27,-0.41,36.72,0.06,15.0,-0.27,754.99,-0.62,0.26,40.0,39.0,201.0,1280.0,1325.0,1305.0
-0.7087337,-2.0650804,2007/1/16,543.43,548.86,542.02,548.39,389632.0,703.64,0.36,36.8,0.07,14.47,-0.53,754.9,-0.1,0.62,40.0,39.0,201.0,1280.0,1325.0,1305.0
-0.6907374,-2.0333173,2007/1/17,547.84,550.1,544.92,548.92,480437.0,703.93,0.3,36.95,0.15,14.21,-0.25,755.1,0.2,0.29,40.0,39.0,201.0,1280.0,1325.0,1305.0
-0.60582155,-1.941302,2007/1/18,550.68,556.05,550.18,554.88,513912.0,704.64,0.71,37.27,0.32,14.33,0.11,756.24,1.13,0.25,40.0,39.0,201.0,1280.0,1325.0,1305.0
-0.557758,-1.897858,2007/1/19,556.05,560.0,555.29,555.29,506924.0,706.25,1.59,37.38,0.11,14.73,0.4,758.36,2.1,0.0,40.0,39.0,201.0,1265.0,1325.0,1295.0
-0.5743376,-1.890534,2007/1/22,557.06,557.86,550.03,554.95,506891.0,707.76,1.51,37.86,0.48,14.39,-0.34,760.01,1.65,0.69,40.0,39.0,206.75,1265.0,1325.0,1295.0
-0.54461026,-1.8660194,2007/1/23,555.9,561.02,555.77,560.8,825523.0,709.13,1.39,38.02,0.16,14.92,0.53,762.08,2.08,0.1,40.0,39.0,206.75,1265.0,1325.0,1295.0
-0.52171946,-1.8392495,2007/1/24,563.46,564.18,560.49,562.25,726228.0,712.08,2.91,37.82,-0.2,14.87,-0.05,764.78,2.67,0.37,40.0,39.0,206.75,1265.0,1325.0,1295.0
-0.70941216,-2.038079,2007/1/25,563.94,564.81,558.16,559.18,455961.0,713.03,0.95,37.52,-0.31,14.65,-0.22,765.19,0.42,0.14,40.0,39.0,206.75,1265.0,1325.0,1295.0
-0.83920836,-2.1690252,2007/1/26,554.84,558.48,551.59,552.53,364719.0,712.61,-0.42,37.23,-0.28,14.61,-0.04,764.45,-0.75,-0.28,40.0,39.0,206.75,1235.0,1325.0,1290.0
-0.7318281,-2.084204,2007/1/29,555.43,555.43,551.05,551.32,332646.0,713.19,0.58,37.1,-0.13,14.38,-0.23,764.67,0.23,0.21,40.0,39.0,220.0,1235.0,1325.0,1290.0
-0.7308868,-2.075744,2007/1/30,552.85,558.58,552.21,556.01,380292.0,713.67,0.48,37.03,-0.07,14.16,-0.23,764.86,0.18,0.18,40.0,39.0,220.0,1235.0,1325.0,1290.0
-0.65398437,-1.9876574,2007/1/31,557.49,558.65,552.1,554.98,409154.0,714.45,0.8,37.35,0.32,13.81,-0.23,765.61,0.88,0.38,40.0,39.0,220.0,1235.0,1325.0,1290.0
-1.205766,-2.2834125,2007/2/1,558.11,559.46,556.58,557.29,272056.0,715.95,1.45,37.24,-0.12,13.75,-0.05,766.94,1.28,0.21,40.0,39.0,220.0,1235.0,1325.0,1290.0
-1.018861,-2.1035845,2007/2/2,560.33,564.18,559.32,561.88,401699.0,718.62,2.67,36.97,-0.27,13.94,0.19,769.53,2.59,0.25,40.0,39.0,220.0,1245.0,1315.0,1275.0
-1.0900612,-2.1780484,2007/2/5,562.49,564.51,561.41,562.24,393284.0,720.07,1.57,37.05,0.08,14.14,0.2,771.26,1.84,0.14,40.0,39.0,224.25,1245.0,1315.0,1275.0
-0.9973796,-2.0874493,2007/2/6,564.58,567.89,562.39,567.89,484094.0,722.32,2.25,36.9,-0.15,14.29,0.15,773.5,2.25,0.51,40.0,39.0,224.25,1245.0,1315.0,1275.0
-1.0475445,-2.1334927,2007/2/7,568.73,568.94,565.3,565.3,419707.0,724.06,1.74,37.1,0.21,14.11,-0.18,775.27,1.77,0.64,40.0,39.0,224.25,1245.0,1315.0,1275.0
-1.1360697,-2.2079208,2007/2/8,566.81,571.08,563.62,567.4,483018.0,725.41,1.34,37.13,0.03,13.98,-0.13,776.53,1.25,0.34,40.0,39.0,224.25,1245.0,1315.0,1275.0
-1.0340968,-2.1102316,2007/2/9,568.37,570.65,566.24,570.65,471693.0,727.38,1.97,37.33,0.19,14.08,0.1,778.78,2.25,0.15,40.0,39.0,224.25,1240.0,1310.0,1275.0
-1.3578243,-2.3934593,2007/2/12,569.38,569.43,565.44,567.31,313258.0,727.3,-0.08,37.37,0.04,14.01,-0.06,778.68,-0.1,0.08,40.0,39.0,232.5,1240.0,1310.0,1275.0
-1.1560009,-2.2263744,2007/2/13,568.22,570.91,567.41,568.6,420425.0,727.75,0.45,37.89,0.52,14.17,0.16,779.81,1.13,0.05,40.0,39.0,232.5,1240.0,1310.0,1275.0
-0.9313937,-1.998247,2007/2/14,572.78,576.45,569.77,576.36,638526.0,729.36,1.71,38.53,0.64,14.37,0.2,782.26,2.55,0.36,40.0,40.0,232.5,1240.0,1310.0,1275.0
-0.79753596,-1.8438452,2007/2/26,582.8,590.09,582.47,585.21,895722.0,731.45,2.03,39.04,0.52,14.49,0.12,784.98,2.66,1.27,40.0,40.0,226.5,1240.0,1310.0,1275.0
-1.089503,-2.1348472,2007/2/27,585.1,585.1,578.44,578.44,723820.0,732.1,0.65,39.35,0.3,14.13,0.04,785.58,0.99,0.34,40.0,40.0,226.5,1240.0,1310.0,1275.0
-1.4932537,-2.5303833,2007/3/1,566.3,570.76,563.76,564.79,762364.0,728.86,-3.25,39.2,-0.14,13.5,-0.63,781.56,-4.02,0.04,40.0,40.0,226.5,1240.0,1310.0,1275.0
-1.1700722,-2.274465,2007/3/2,563.86,569.5,561.36,566.58,537014.0,728.48,-0.4,39.08,-0.13,13.42,-0.08,780.97,-0.6,0.0,40.0,40.0,226.5,1240.0,1310.0,1275.0
-1.3205385,-2.4055765,2007/3/3,565.46,566.06,560.64,562.54,378791.0,727.25,-1.22,39.02,-0.06,13.15,-0.26,779.42,-1.54,-0.07,40.0,40.0,223.75,1250.0,1310.0,1275.0
-1.2550719,-2.34871,2007/3/5,559.82,560.29,549.97,554.29,715675.0,726.8,-0.45,38.87,-0.14,12.02,-1.14,777.69,-1.73,0.95,40.0,40.0,223.75,1250.0,1310.0,1275.0
-1.2338636,-2.3399258,2007/3/6,554.51,559.03,554.51,558.43,442071.0,726.7,-0.06,38.57,-0.3,11.91,-0.11,777.17,-0.47,0.09,40.0,40.0,223.75,1250.0,1310.0,1275.0
-1.0172043,-2.1400428,2007/3/7,559.95,563.55,556.83,562.56,561081.0,727.77,1.07,38.27,-0.3,12.2,0.28,778.25,1.05,0.28,40.0,40.0,223.75,1250.0,1310.0,1275.0
-1.1287485,-2.2377098,2007/3/8,565.07,565.38,561.34,563.54,414933.0,727.76,-0.01,38.25,-0.03,12.63,0.43,778.64,0.39,-0.33,40.0,40.0,223.75,1250.0,1310.0,1275.0
-1.3311834,-2.4174755,2007/3/9,565.19,565.19,561.44,563.04,380219.0,726.7,-1.06,37.91,-0.33,12.85,0.2,777.46,-1.19,-0.41,40.0,40.0,223.75,1250.0,1310.0,1280.0
-1.1587739,-2.2654212,2007/3/12,565.65,567.79,563.63,567.04,392799.0,726.36,-0.35,37.95,0.03,13.0,0.13,777.31,-0.18,0.05,40.0,40.0,220.0,1250.0,1320.0,1280.0
-1.173156,-2.2677658,2007/3/13,567.84,570.33,567.58,569.34,478641.0,726.13,-0.24,37.85,-0.1,13.05,0.04,777.02,-0.3,-0.09,40.0,40.0,220.0,1250.0,1320.0,1280.0
-1.2385511,-2.33422,2007/3/14,564.35,568.67,560.33,567.12,522589.0,725.3,-0.83,37.79,-0.05,12.8,-0.37,775.89,-1.26,0.35,40.0,40.0,220.0,1250.0,1320.0,1280.0
-0.7765564,-1.874278,2007/3/15,571.48,582.01,571.39,579.83,698006.0,728.56,3.26,37.98,0.19,12.78,-0.02,779.33,3.43,0.85,40.0,40.0,220.0,1250.0,1320.0,1280.0
-0.88714015,-1.9842111,2007/3/16,579.83,586.56,578.31,584.64,592331.0,730.64,2.07,37.94,-0.05,12.83,0.05,781.4,2.08,0.52,40.0,40.0,220.0,1250.0,1320.0,1280.0
-1.1832585,-2.2674737,2007/3/19,584.69,584.69,579.38,579.82,337858.0,730.41,-0.23,37.93,0.0,12.78,-0.08,781.12,-0.31,0.1,40.0,40.0,218.0,1240.0,1320.0,1280.0
-1.1240093,-2.2129135,2007/3/20,580.84,582.11,577.99,577.99,359975.0,730.66,0.25,38.03,0.1,12.75,-0.03,781.44,0.32,0.03,40.0,40.0,218.0,1240.0,1320.0,1280.0
-1.115794,-2.20858,2007/3/21,578.79,581.11,576.64,580.93,406074.0,731.14,0.48,37.85,-0.18,12.88,0.13,781.87,0.43,-0.03,40.0,40.0,218.0,1240.0,1320.0,1280.0
-0.7261966,-1.8094814,2007/3/22,586.26,589.36,584.56,588.57,713776.0,734.75,3.6,38.1,0.24,13.33,0.45,786.18,4.29,0.62,40.0,40.0,218.0,1240.0,1320.0,1280.0
-0.8092061,-1.8886966,2007/3/23,590.18,592.66,587.6,591.63,577743.0,737.61,2.86,38.17,0.07,13.77,0.44,789.55,3.37,0.17,40.0,39.0,218.0,1240.0,1320.0,1280.0
-0.9111984,-1.9960965,2007/3/26,592.45,599.02,591.41,597.64,586029.0,739.78,2.17,37.69,-0.48,14.19,0.41,791.65,2.1,-0.07,40.0,39.0,228.5,1230.0,1320.0,1280.0
-1.1778383,-2.2495172,2007/3/27,595.58,599.49,592.49,593.56,495577.0,739.76,-0.02,37.16,-0.53,14.18,0.0,791.11,-0.54,-0.07,40.0,39.0,228.5,1230.0,1320.0,1280.0
-1.1645502,-2.250346,2007/3/28,591.36,593.52,590.42,592.3,368835.0,739.66,-0.1,36.96,-0.2,14.12,-0.07,790.74,-0.38,0.06,40.0,39.0,228.5,1230.0,1320.0,1280.0
-0.97234434,-2.0554404,2007/3/29,592.1,600.71,591.27,596.39,563332.0,740.01,0.28,37.09,0.13,14.57,0.45,791.67,0.87,-0.06,40.0,39.0,228.5,1230.0,1320.0,1280.0
-0.9914734,-2.0692382,2007/3/30,598.66,603.04,596.79,603.04,590216.0,740.73,0.72,34.12,-0.2,14.49,0.12,789.34,0.65,0.12,40.0,39.0,228.5,1230.0,1320.0,1270.0
-0.78295517,-1.8066615,2007/4/2,604.8,610.41,601.11,605.96,808087.0,742.63,1.9,34.24,0.12,15.5,1.01,792.37,3.03,0.3,40.0,39.0,229.75,1240.0,1320.0,1270.0
-0.907517,-1.9390749,2007/4/3,606.64,608.44,604.82,608.39,588986.0,743.82,1.18,34.44,0.2,16.37,0.87,794.62,2.24,-0.79,40.0,39.0,229.75,1240.0,1320.0,1270.0
-0.8542675,-1.8634268,2007/4/4,610.94,611.45,608.01,610.14,691207.0,745.3,1.48,34.97,0.54,16.33,-0.04,796.61,1.99,0.4,40.0,39.0,229.75,1240.0,1320.0,1275.0
-0.71073765,-1.7013755,2007/4/9,611.29,619.79,611.29,619.79,1046062.0,747.34,2.03,35.34,0.37,18.2,1.87,800.88,4.27,-0.43,40.0,39.0,228.0,1240.0,1320.0,1275.0
-0.72124386,-1.6192249,2007/4/10,621.6,622.58,616.67,620.6,1085074.0,749.44,2.11,39.0,3.66,18.33,0.13,806.77,5.89,0.11,40.0,39.0,228.0,1240.0,1320.0,1275.0
-0.83425415,-1.810659,2007/4/11,621.59,622.53,618.19,620.59,800894.0,750.77,1.32,39.62,0.62,18.25,-0.08,808.64,1.86,0.21,40.0,39.0,228.0,1240.0,1320.0,1275.0
-0.77135074,-1.738368,2007/4/12,618.55,620.24,617.05,618.24,824887.0,752.59,1.82,40.74,1.12,18.19,-0.06,811.52,2.88,0.71,40.0,39.0,228.0,1240.0,1320.0,1275.0
-0.7938787,-1.7662189,2007/4/13,620.18,621.92,611.27,612.73,1092120.0,754.98,2.37,41.01,0.28,18.17,-0.02,814.16,2.63,0.3,40.0,39.0,228.0,1240.0,1320.0,1275.0
-0.91905445,-1.9208521,2007/4/14,613.75,617.14,612.53,617.14,682435.0,755.4,0.4,41.15,0.14,18.62,0.45,815.17,0.99,-0.23,40.0,39.0,236.0,1235.0,1320.0,1280.0
-0.80279315,-1.7749879,2007/4/16,622.59,626.47,621.91,626.21,934710.0,758.11,2.76,41.43,0.28,18.17,-0.46,817.71,2.58,0.72,40.0,39.0,236.0,1235.0,1320.0,1280.0
-0.783051,-1.7491226,2007/4/17,630.05,630.14,619.26,620.68,1011346.0,761.97,3.84,41.72,0.28,16.84,-1.33,820.52,2.8,1.64,40.0,39.0,236.0,1235.0,1320.0,1280.0
-0.90083176,-1.8833107,2007/4/18,622.13,623.89,616.68,623.78,664725.0,763.58,1.75,41.97,0.25,16.51,-0.33,822.06,1.68,0.26,40.0,39.0,236.0,1235.0,1320.0,1280.0
-1.2166235,-2.244884,2007/4/19,622.21,622.21,612.09,612.32,788761.0,761.34,-2.24,42.1,0.13,15.87,-0.64,819.32,-2.74,0.11,40.0,39.0,236.0,1235.0,1320.0,1280.0
-0.9853771,-1.9858629,2007/4/20,613.56,616.15,612.65,615.61,459513.0,761.68,0.34,42.62,0.51,15.74,-0.13,820.04,0.72,0.1,40.0,39.0,236.0,1235.0,1320.0,1280.0
-0.92085344,-1.9129921,2007/4/23,620.76,626.67,619.85,620.74,607969.0,762.76,0.86,43.06,0.45,16.06,0.32,821.89,1.63,-0.09,40.0,39.0,230.25,1245.0,1320.0,1285.0
-1.051914,-2.0624702,2007/4/24,621.29,623.53,619.59,622.41,535103.0,762.62,-0.14,43.29,0.23,15.86,-0.2,821.78,-0.11,0.14,40.0,39.0,230.25,1245.0,1320.0,1285.0
-1.1496633,-2.1744266,2007/4/25,621.25,621.31,617.35,617.68,585394.0,761.26,-0.3,43.09,-0.2,15.62,-0.24,819.97,-0.75,-0.18,40.0,39.0,230.25,1245.0,1320.0,1285.0
-1.0070977,-2.007736,2007/4/26,619.27,621.94,619.27,620.14,590886.0,762.53,1.1,43.07,-0.02,15.05,-0.57,820.65,0.51,0.53,40.0,39.0,230.25,1245.0,1320.0,1285.0
-1.2409992,-2.273961,2007/4/27,620.9,621.36,614.34,614.34,499722.0,761.03,-1.49,43.16,0.09,14.62,-0.43,818.81,-1.84,0.05,40.0,39.0,230.25,1245.0,1320.0,1285.0
-1.3105109,-2.3021772,2007/4/30,614.28,614.33,602.68,603.66,575859.0,759.85,-1.19,43.27,0.11,13.84,-1.27,816.95,-2.34,0.69,40.0,39.0,226.5,1255.0,1350.0,1290.0
-1.7398887,-2.645068,2007/5/2,604.41,608.17,602.84,604.12,510444.0,759.32,-0.53,43.19,-0.07,13.0,-0.83,815.52,-1.43,0.2,40.0,39.0,226.5,1255.0,1350.0,1290.0
-1.7902622,-2.6773028,2007/5/3,605.72,606.25,599.77,601.95,524477.0,758.8,-0.52,42.95,-0.24,12.08,-0.92,813.83,-1.69,0.24,40.0,39.0,226.5,1255.0,1350.0,1290.0
-1.6150482,-2.5504982,2007/5/4,605.57,610.22,605.57,610.22,497143.0,759.76,0.96,42.14,-0.81,12.19,0.11,814.09,0.26,-0.02,40.0,39.0,226.5,1255.0,1350.0,1290.0
-1.4150827,-2.3504162,2007/5/7,614.31,615.17,612.34,614.1,536435.0,760.6,0.86,42.07,-0.06,12.16,-0.03,814.83,0.77,0.16,40.0,39.0,231.5,1255.0,1350.0,1290.0
-1.5287335,-2.452471,2007/5/8,613.87,614.41,610.89,613.86,438911.0,761.05,0.45,41.86,-0.21,12.06,-0.1,814.97,0.13,0.11,40.0,39.0,231.5,1255.0,1350.0,1290.0
-1.5004907,-2.4265587,2007/5/9,613.15,613.87,611.47,612.63,443919.0,761.67,0.63,41.83,-0.03,11.9,-0.18,815.4,0.42,0.07,40.0,39.0,231.5,1255.0,1350.0,1290.0
-1.4610991,-2.393256,2007/5/10,614.83,615.44,612.37,615.41,417318.0,762.64,0.99,41.68,-0.15,11.89,-0.05,816.21,0.79,0.14,40.0,39.0,231.5,1255.0,1350.0,1290.0
-1.5814545,-2.4996438,2007/5/11,611.3,614.48,610.7,613.68,438692.0,762.41,-0.23,41.57,-0.11,11.93,0.04,815.91,-0.3,-0.15,40.0,39.0,231.5,1255.0,1350.0,1290.0
-1.4775362,-2.393801,2007/5/14,615.18,618.27,612.57,616.21,530936.0,762.55,0.16,41.68,0.11,11.93,-0.07,816.16,0.21,0.17,41.0,39.0,230.5,1255.0,1350.0,1290.0
-1.5081108,-2.4237778,2007/5/15,616.57,620.01,616.57,618.46,511466.0,762.8,0.26,41.69,0.0,11.88,-0.05,816.37,0.21,0.04,41.0,39.0,230.5,1255.0,1350.0,1290.0
-1.5039742,-2.4250393,2007/5/16,618.91,620.13,617.27,618.76,442620.0,763.47,0.66,41.41,-0.27,12.19,0.31,817.07,0.7,-0.23,41.0,39.0,230.5,1255.0,1350.0,1290.0
-0.9150706,-1.8156458,2007/5/17,624.41,640.35,624.41,637.32,923990.0,769.2,5.18,41.38,-0.04,12.54,0.35,823.12,5.49,0.64,41.0,39.0,230.5,1255.0,1350.0,1290.0
-1.4485602,-2.3578072,2007/5/18,641.56,643.06,633.94,634.9,745800.0,769.38,0.19,41.18,-0.2,12.81,0.28,823.38,0.27,-0.37,41.0,39.0,230.5,1255.0,1350.0,1295.0
-1.159812,-2.049334,2007/5/21,640.26,662.12,638.6,657.35,970165.0,771.42,2.02,41.29,0.11,12.84,0.02,825.54,2.15,0.28,41.0,40.0,241.0,1270.0,1350.0,1295.0
-1.3296505,-2.228173,2007/5/22,655.83,655.87,650.74,654.59,620267.0,772.62,1.2,41.29,0.01,12.96,0.13,826.88,1.33,0.0,41.0,40.0,241.0,1270.0,1350.0,1295.0
-1.394609,-2.2871602,2007/5/23,656.46,659.53,652.95,652.99,616856.0,773.39,0.76,41.17,-0.13,12.92,-0.04,827.48,0.59,0.23,41.0,40.0,241.0,1270.0,1350.0,1295.0
-1.3219132,-2.2173831,2007/5/24,654.48,656.72,650.88,652.05,564960.0,774.52,1.13,41.22,0.05,13.22,0.29,828.95,1.47,-0.07,41.0,40.0,241.0,1270.0,1350.0,1295.0
-1.5048409,-2.388517,2007/5/25,652.07,652.07,644.71,648.94,568407.0,774.29,-0.24,41.26,0.04,13.21,0.0,828.76,-0.21,0.0,41.0,40.0,241.0,1270.0,1350.0,1315.0
-1.4183576,-2.2994473,2007/5/28,649.63,652.78,648.17,652.4,488161.0,774.76,0.47,41.58,0.32,13.08,-0.13,829.42,0.66,0.17,41.0,40.0,244.25,1290.0,1370.0,1315.0
-1.2527847,-2.133748,2007/5/29,652.86,658.53,650.64,652.29,718954.0,776.37,1.71,41.83,0.25,13.15,0.06,831.34,2.02,-0.08,41.0,40.0,244.25,1290.0,1370.0,1315.0
-1.3409727,-2.2080412,2007/5/30,650.25,651.59,644.29,650.53,604265.0,776.89,-0.16,42.91,1.08,12.88,-0.27,832.68,0.66,0.17,41.0,40.0,244.25,1290.0,1370.0,1315.0
-1.5503969,-2.3987777,2007/5/31,653.42,655.61,645.27,645.27,766113.0,775.32,-1.58,43.42,0.51,14.12,0.07,832.85,-1.0,-0.4,41.0,40.0,244.25,1290.0,1370.0,1315.0
-1.4259219,-2.2675803,2007/6/1,653.59,657.08,652.76,656.0,561111.0,776.49,1.17,43.82,0.4,13.8,-0.32,834.11,1.25,0.72,41.0,40.0,244.25,1290.0,1370.0,1325.0
-1.6724677,-2.4754095,2007/6/4,659.92,660.67,657.46,658.75,510267.0,776.32,-0.17,44.15,0.32,13.52,-0.27,833.99,-0.12,0.29,41.0,40.0,235.0,1305.0,1375.0,1325.0
-1.7189298,-2.5138083,2007/6/5,660.46,660.46,655.6,660.28,464562.0,776.18,-0.14,44.37,0.22,13.22,-0.34,833.77,-0.25,0.31,41.0,40.0,235.0,1305.0,1375.0,1325.0
-1.5897837,-2.3920002,2007/6/6,659.76,661.22,657.06,658.25,579581.0,777.05,0.88,44.26,-0.11,13.27,0.04,834.58,0.81,0.15,41.0,40.0,235.0,1305.0,1375.0,1325.0
-1.6568584,-2.4549081,2007/6/7,656.66,661.01,654.56,659.82,482395.0,777.27,0.35,44.28,0.02,13.42,0.13,834.97,0.5,-0.04,41.0,40.0,235.0,1305.0,1375.0,1325.0
-1.7921317,-2.5669763,2007/6/8,657.53,657.69,654.22,657.08,576637.0,776.82,-0.3,44.06,-0.22,13.5,0.05,834.38,-0.47,-0.17,41.0,40.0,235.0,1305.0,1375.0,1335.0
-1.5598874,-2.3634152,2007/6/11,657.89,661.12,657.89,659.45,632767.0,777.43,0.61,44.21,0.15,13.66,0.13,835.3,0.89,0.01,41.0,40.0,228.25,1320.0,1380.0,1335.0
-1.6599512,-2.4490204,2007/6/12,660.27,661.61,658.22,660.59,599018.0,777.23,-0.2,44.48,0.27,13.64,-0.04,835.34,0.04,0.03,41.0,40.0,228.25,1320.0,1380.0,1335.0
-1.65291,-2.4509878,2007/6/13,660.07,661.81,658.97,660.49,510452.0,777.63,0.41,44.58,0.1,13.68,0.04,835.89,0.55,-0.07,41.0,40.0,228.25,1320.0,1380.0,1335.0
-1.5758164,-2.370723,2007/6/14,662.57,663.97,661.57,663.97,488978.0,778.64,1.01,44.74,0.16,13.37,-0.32,836.75,0.85,0.41,41.0,40.0,228.25,1320.0,1380.0,1335.0
-1.1630559,-1.9292077,2007/6/15,665.51,677.82,665.51,677.82,994226.0,782.13,3.39,45.06,0.32,13.89,0.5,841.08,4.21,0.26,43.0,42.0,228.25,1320.0,1380.0,1335.0
-1.027956,-1.756709,2007/6/20,676.93,705.5,676.93,705.24,1698518.0,786.89,4.74,44.92,-0.14,13.69,-0.2,845.49,4.4,1.17,43.0,42.0,221.0,1320.0,1380.0,1335.0
-1.1267438,-1.854463,2007/6/21,707.97,718.32,699.83,714.13,1338244.0,791.22,4.33,44.78,-0.14,13.31,-0.37,849.31,3.81,0.83,43.0,42.0,221.0,1320.0,1380.0,1335.0
-1.3106358,-2.0289044,2007/6/22,715.23,715.76,707.62,712.98,1032245.0,792.53,1.31,44.61,-0.16,14.37,1.06,851.51,2.2,-0.21,43.0,42.0,221.0,1320.0,1380.0,1335.0
-1.4299145,-2.1574464,2007/6/23,711.43,712.6,709.08,712.23,884950.0,792.17,-0.35,45.04,0.43,15.44,1.07,852.65,1.15,-0.58,43.0,42.0,217.75,1325.0,1400.0,1325.0
-1.1777842,-1.8556632,2007/6/25,718.34,743.84,718.34,740.39,1656640.0,793.14,0.97,45.29,0.25,15.91,0.47,854.35,1.69,0.18,43.0,42.0,217.75,1325.0,1400.0,1325.0
-1.3625456,-2.0546932,2007/6/26,743.99,750.19,735.92,738.01,1451732.0,792.51,-0.63,45.94,0.64,15.82,-0.09,854.27,-0.08,0.0,43.0,42.0,217.75,1325.0,1400.0,1325.0
-1.4460318,-2.1559017,2007/6/27,732.23,732.48,721.31,723.5,1280771.0,791.73,-0.78,46.65,0.71,15.76,-0.06,854.14,-0.13,-0.32,43.0,42.0,217.75,1325.0,1400.0,1325.0
-1.4839389,-2.154594,2007/6/28,725.95,727.03,706.76,716.8,1400250.0,791.93,0.2,46.12,-0.53,16.14,0.38,854.19,0.05,-0.36,43.0,42.0,217.75,1325.0,1400.0,1325.0
